Device_SN,R1380193
Test_Time,02/06/2024 14:58:41
Memo,R1380193; Raman Laser Off; 
Integration_Time(ms),27000.00
Case_Temperature,27.67
Sensor_Temperature,-16.59
Laser_Wavelength(nm),532.000
Laser_Power(mW),0
WL_Unit,Raman_Shift(cm^-1)
Pwr_Unit,Count
Substract_Background,Yes
Smoothing,No
Baseline_Correction,No
Average_Number,1
Peak_Search_Mode,None
Noise_Threshold,1000
Data_Count,2048
WL,Power
769.464,1735.000
771.272,1789.000
773.080,1761.000
774.887,1791.000
776.694,1782.000
778.500,1878.000
780.306,1809.000
782.112,1842.000
783.917,1775.000
785.721,1815.000
787.525,1788.000
789.329,1749.000
791.132,1727.000
792.935,1679.000
794.737,1586.000
796.539,1572.000
798.341,1426.000
800.141,1327.000
801.942,1278.000
803.742,1132.000
805.542,1052.000
807.341,1012.000
809.139,902.000
810.938,816.000
812.735,715.000
814.533,641.000
816.330,671.000
818.126,592.000
819.922,524.000
821.718,507.000
823.513,526.000
825.308,483.000
827.102,483.000
828.895,445.000
830.689,410.000
832.482,439.000
834.274,398.000
836.066,359.000
837.858,362.000
839.649,372.000
841.439,313.000
843.229,328.000
845.019,297.000
846.808,311.000
848.597,344.000
850.386,287.000
852.174,287.000
853.961,386.000
855.748,289.000
857.535,316.000
859.321,285.000
861.107,282.000
862.892,312.000
864.677,307.000
866.461,277.000
868.245,286.000
870.028,304.000
871.812,272.000
873.594,281.000
875.376,318.000
877.158,301.000
878.939,281.000
880.720,303.000
882.500,309.000
884.280,239.000
886.060,290.000
887.839,297.000
889.617,218.000
891.395,297.000
893.173,263.000
894.950,241.000
896.727,266.000
898.503,267.000
900.279,250.000
902.055,254.000
903.830,294.000
905.604,236.000
907.378,250.000
909.152,293.000
910.925,267.000
912.698,252.000
914.470,261.000
916.242,225.000
918.014,261.000
919.785,321.000
921.555,264.000
923.326,266.000
925.095,318.000
926.864,309.000
928.633,235.000
930.402,328.000
932.169,244.000
933.937,261.000
935.704,277.000
937.470,195.000
939.237,292.000
941.002,295.000
942.768,262.000
944.532,270.000
946.297,317.000
948.061,260.000
949.824,286.000
951.587,301.000
953.350,255.000
955.112,273.000
956.874,285.000
958.635,272.000
960.396,238.000
962.156,282.000
963.916,287.000
965.675,302.000
967.434,288.000
969.193,309.000
970.951,257.000
972.709,299.000
974.466,305.000
976.223,273.000
977.979,282.000
979.735,258.000
981.491,294.000
983.246,258.000
985.001,319.000
986.755,288.000
988.508,316.000
990.262,224.000
992.015,284.000
993.767,270.000
995.519,315.000
997.271,279.000
999.022,321.000
1000.772,292.000
1002.523,289.000
1004.272,293.000
1006.022,302.000
1007.771,306.000
1009.519,273.000
1011.267,314.000
1013.015,255.000
1014.762,276.000
1016.508,305.000
1018.255,298.000
1020.000,321.000
1021.746,291.000
1023.491,272.000
1025.235,335.000
